
key,english_name,chinese_name,logo_asset_url,brand_colors_hex,notes,sources
microsoft_365,Microsoft 365,微软 365,https://www.microsoft.com/en-us/legal/intellectualproperty/trademarks,#F25022;#7FBA00;#00A4EF;#FFB900,"Microsoft 365 draws on Microsoft’s four-color palette: orange (#F25022), green (#7FBA00), blue (#00A4EF) and yellow (#FFB900).",https://learn.microsoft.com/en-us/legal/intellectual-property-use
google_one,Google One,Google One 云盘,https://about.google/brand-resource-center/logos-list/,#4285F4;#EA4335;#FBBC05;#34A853,"Google One follows Google’s four standard colors: blue (#4285F4), red (#EA4335), yellow (#FBBC05), and green (#34A853).",https://about.google/brand-resource-center/logos-list/
evernote_premium,Evernote Premium,印象笔记高级版,https://evernote.com/brand,#2DCE89;#FFFFFF;#000000,Evernote’s primary color is a vibrant green (#2DCE89); it is paired with black or white backgrounds.,https://evernote.com/brand
patreon,Patreon,Patreon 创作者平台,https://www.patreon.com/brand-kit,#F96854;#05192D;#FFFFFF,Patreon uses a coral orange (#F96854) and deep navy (#05192D) as its primary brand colors.,https://www.patreon.com/brand-kit
playstation_plus,PlayStation Plus,PlayStation Plus 会员,https://www.playstation.com/en-us/legal/trademarks/,#003087;#FFFFFF;#000000,PlayStation branding uses a deep blue (#003087) along with black and white for contrast.,https://www.playstation.com/en-us/legal/trademarks/
xbox_game_pass,Xbox Game Pass,Xbox 游戏通行证,https://news.xbox.com/en-us/category/brand-resources/,#107C10;#FFFFFF;#000000,The Xbox brand uses a bold green (#107C10) with white and black for its Game Pass logos.,https://news.xbox.com/en-us/category/brand-resources/
amazon_music_unlimited,Amazon Music Unlimited,Amazon Music Unlimited 订阅,https://advertising.amazon.com/brand-resources,#00BBFF;#000000;#FFFFFF,Amazon Music Unlimited generally uses a bright azure blue (#00BBFF) along with black and white.,https://advertising.amazon.com/brand-resources
tencent_video,Tencent Video,腾讯视频,https://www.tencent.com/en-us/brand_assets.html,#00C6FF;#FFFFFF;#000000,Tencent Video uses a bright blue (#00C6FF) as its primary color; white and black provide contrast.,https://www.tencent.com/en-us/brand_assets.html
iqiyi_premium,iQIYI Premium,爱奇艺 VIP,https://www.iqiyi.com/brand/symbol.html,#00DC5A;#000000;#FFFFFF,iQIYI’s logo uses a vivid green (#00DC5A) wordmark; black or white may be used as background.,https://companieslogo.com/iqiyi/logo/
youku_premium,Youku Premium,优酷 VIP,https://www.youku.com/brand/logo.html,#00A0E9;#FF0000;#FFFFFF,Youku’s logo pairs a vibrant blue (#00A0E9) with red (#FF0000). White is used for contrast.,https://www.youku.com/brand/logo.html
bilibili_bvip,Bilibili B-VIP,哔哩哔哩大会员,https://www.bilibili.com/brand,#00A1E9;#FB7299;#FFFFFF,"Bilibili’s palette mixes blue (#00A1E9) and pink (#FB7299), reflecting the platform’s playful aesthetic. These values are widely used although formal guidelines are not public.",https://www.bilibili.com
wechat_vip,WeChat VIP,微信 VIP会员,https://open.weixin.qq.com/cgi-bin/showdocument?docid=brandresources,#09BB07;#000000;#FFFFFF,WeChat’s primary color is green (#09BB07); logos may appear on black or white backgrounds.,https://open.weixin.qq.com/cgi-bin/showdocument?docid=brandresources
apple_music,Apple Music,Apple Music,https://marketing.services.apple/apple-music-identity-guidelines,#FF4E6B;#FF0436;#FFFFFF,"Apple Music uses a gradient pink/red palette (e.g., #FF4E6B and #FF0436). Official guidelines focus on using Apple-provided artwork; color values are approximate.",https://www.brandcolorcode.com/apple-music;https://marketing.services.apple/apple-music-identity-guidelines
apple_tv_plus,Apple TV+,Apple TV+,https://marketing.services.apple/apple-tv-app-identity-guidelines,#000000;#FFFFFF,"Apple TV+ follows Apple’s monochrome signature: black and white, without additional colors.",https://marketing.services.apple/apple-music-identity-guidelines
apple_arcade,Apple Arcade,Apple Arcade,https://developer.apple.com/app-store/marketing/guidelines/,#FF453A;#FFFFFF,"Apple Arcade uses a vivid red (#FF453A) in its logo, with white as contrast. Values are approximate.",https://developer.apple.com/app-store/marketing/guidelines/
apple_icloud_plus,iCloud+,iCloud+ 云服务,https://support.apple.com/icloud,#3693F3;#FFFFFF,iCloud+ is often represented with a sky-blue cloud icon (#3693F3) on a white background; colors are approximate.,https://support.apple.com/icloud
audible,Audible,Audible 有声书,https://www.audible.com/about/logos,#F8991C;#000000;#FFFFFF,Audible’s logo features a warm orange (#F8991C) combined with black and white.,https://www.audible.com/about/logos
kindle_unlimited,Kindle Unlimited,Kindle 无限会员,https://www.amazon.com/kindleunlimited,#FF9900;#000000;#FFFFFF,Kindle Unlimited aligns with Amazon’s orange (#FF9900) paired with black and white.,https://www.amazon.com/kindleunlimited
adobe_creative_cloud,Adobe Creative Cloud,Adobe 创意云,https://www.adobe.com/about-adobe/brand.html,#FF0000;#EC008C;#F79E1B,"Adobe Creative Cloud uses a gradient of red (#FF0000), magenta (#EC008C) and orange (#F79E1B) in its swirl logo.",https://www.adobe.com/about-adobe/brand.html
crunchyroll,Crunchyroll,Crunchyroll 动漫订阅,https://www.crunchyroll.com/,#F47521;#FFFFFF,Crunchyroll’s official color is orange (#F47521). The logo may appear in white on colored backgrounds.,https://brandpalettes.com/crunchyroll-colors/
tidal,Tidal,Tidal 音乐,https://tidal.com/press,#000000;#00B4D8;#FFFFFF,Tidal’s branding is largely monochromatic (black and white) accented by a cyan-blue (#00B4D8) in some contexts.,https://tidal.com/press
deezer,Deezer,Deezer 音乐,https://www.deezer.com/en/company/press,#FA0B0B;#FEEB0B;#33FF62;#00A8E0;#C402E4,"Deezer’s logo uses a multi-color equalizer motif with red (#FA0B0B), yellow (#FEEB0B), green (#33FF62), blue (#00A8E0) and purple (#C402E4).",https://www.deezer.com/en/company/press
linkedin_premium,LinkedIn Premium,LinkedIn 领英高级会员,https://brand.linkedin.com/policies/logos-brand-guidelines,#0077B5;#000000;#FFFFFF,LinkedIn uses a distinctive blue (#0077B5) together with black and white for its premium services.,https://brand.linkedin.com/policies/logos-brand-guidelines
nordvpn,NordVPN,NordVPN 加速器,https://nordvpn.com/press/,#007FFF;#FFFFFF;#000000,NordVPN’s brand features a cool blue (#007FFF) with white and black to convey trust and security.,https://nordvpn.com/press/
expressvpn,ExpressVPN,ExpressVPN 加速器,https://www.expressvpn.com/company/press,#DA3940;#FFFFFF,ExpressVPN’s logo uses a bold red (#DA3940) with white.,https://www.expressvpn.com/company/press
canva_pro,Canva Pro,Canva 专业版,https://www.canva.com/brand/,#00C4CC;#FF6F61;#8338EC,"Canva’s brand palette includes teal (#00C4CC), coral (#FF6F61) and purple (#8338EC), reflecting its creative platform.",https://www.canva.com/brand/
figma_pro,Figma Professional,Figma 专业版,https://www.figma.com/about/brand/,#F24E1E;#A259FF;#0ACF83;#FF7262,"Figma’s logo uses four circles in different colors: orange (#F24E1E), purple (#A259FF), green (#0ACF83), and coral (#FF7262).",https://www.figma.com/about/brand/
chatgpt_plus,ChatGPT Plus,ChatGPT Plus 订阅,https://openai.com/brand,#10A37F;#000000;#FFFFFF,ChatGPT’s branding uses a distinctive green (#10A37F) along with black and white.,https://openai.com/brand
midjourney,Midjourney,Midjourney 订阅,https://www.midjourney.com/home/,#5A4C8F;#FFFFFF;#000000,Midjourney uses a purple hue (#5A4C8F) and often pairs it with black or white.,https://www.midjourney.com/home/
coursera_plus,Coursera Plus,Coursera 学堂Plus,https://about.coursera.org/press,#0056D2;#FFFFFF,Coursera’s palette centers on a deep blue (#0056D2) with white.,https://about.coursera.org/press
chegg_study,Chegg Study,Chegg 学习,https://www.chegg.com/about/brand,#FFB800;#FFFFFF,Chegg uses a bright orange (#FFB800) for its identity paired with white.,https://www.chegg.com/about/brand
slack_pro,Slack Pro,Slack 专业版,https://slack.com/brand-guidelines,#611F69;#36C5F0;#2EB67D;#E01E5A,"Slack’s hashtag logo contains four colors: purple (#611F69), blue (#36C5F0), green (#2EB67D), and pink (#E01E5A).",https://slack.com/brand-guidelines
github_pro,GitHub Pro,GitHub 专业版,https://github.com/logos,#181717;#FFFFFF;#6CC644,GitHub’s branding uses black (#181717) with white; the green (#6CC644) appears in Octocat imagery.,https://github.com/logos
qq_music,QQ Music,QQ 音乐会员,https://y.qq.com/brand/,#F9AE08;#EA1C26;#FFFFFF;#000000,"QQ’s palette includes yellow (#F9AE08), red (#EA1C26), black and white. These values come from QQ brand guidelines.",https://www.brandcolorcode.com/qq
kugou_music,Kugou Music,酷狗音乐,https://www.kugou.com/brand,#0179F1;#FFFFFF,Kugou’s logo uses a vivid blue (#0179F1) paired with white.,https://www.kugou.com
baidu_wenku_vip,Baidu Wenku VIP,百度文库VIP,https://wenku.baidu.com/,#2932E1;#DE0F17;#FFFFFF,Baidu’s corporate palette includes blue (#2932E1) and red (#DE0F17). These colors extend to Baidu Wenku.,https://www.baidu.com
wps_membership,WPS Office Membership,WPS 会员,https://www.wps.com/brand,#E94D2B;#FFFFFF,WPS Office uses a bright orange-red (#E94D2B) for its logo.,https://www.wps.com
zhihu_salt_member,Zhihu Salt Member,知乎盐选会员,https://www.zhihu.com/brand,#0084FF;#FFFFFF;#000000,Zhihu’s primary color is blue (#0084FF). It is paired with black and white in the brand’s visual identity.,https://www.zhihu.com
udemy_personal_plan,Udemy Personal Plan,Udemy 个人计划,https://about.udemy.com/,#EC5252;#A435F0;#FFFFFF,Udemy’s branding often uses a gradient from red (#EC5252) to purple (#A435F0) combined with white.,https://about.udemy.com
douyin_vip,Douyin VIP,抖音VIP,https://douyin.com/brand,#00F8FF;#FF0050;#000000;#FFFFFF,Douyin (TikTok in mainland China) uses neon cyan (#00F8FF) and pink (#FF0050) against black backgrounds; white may be used for text.,https://www.douyin.com
